shot_id,duration_sec,visual,video_prompt
s01,5,未来城市清晨，粉红色月球挂在天空，街道和高楼被粉色月光照亮，人类集体抬头沉默，远处黑金警报屏显示一切正常。,竖屏镜头从城市街道缓慢上摇到巨大粉红月球，人群保持沉默，粉色月光扫过建筑，最后停在警报屏的一切正常字样，冷幽默节奏
s02,6,黑金宇宙管理室里，零壹瘫在机械王座上，大头小身体，半睁眼，头顶悬浮皇冠慢慢旋转，多条机械触手替她操作控制台，方糖黑立方漂在脚边。,中景缓慢推进到瘫在王座上的零壹，触手自动工作，方糖上下漂浮，屏幕显示战争0 疾病0 麻烦0，节奏慵懒荒诞
s03,5,机械触手端起黑金可乐罐，零壹慢慢吸一口，镜头推到她半睁眼的脸，可乐气泡变成蓝白电流，小机器人在背景僵住。,镜头从黑金可乐罐推近到零壹眼睛，说出台词时轻微定格，可乐气泡变成电流，小机器人同时僵住，灾难启动感
s04,6,零壹打开宇宙调色盘，把白色月球图标拖到亮粉色块上，黑金全息UI弹出颜色参数，机械触手在旁边乱按确认键。,全息月球在画面中央旋转，颜色从白色滑到亮粉色，零壹手指点击确认，触手乱按按钮，UI弹出确认成功
s05,7,方糖黑立方被机械触手轻轻摇晃，立方体旋转放大，蓝白电弧爆开，现实像加载条一样改写，月球瞬间变成亮粉色。,方糖旋转放大，蓝白电弧扩散到全屏，画面像加载条一样闪烁，转场到亮粉色月球，UI显示Reality Patch从01%到100%
s06,6,地球海岸街道被粉色月光照亮，潮水冲上街道却变成奶茶色浪潮，浪花里漂着珍珠状泡泡，路人震惊看着脚边。,低角度拍奶茶浪潮推进，珍珠泡泡弹到镜头前，路人同步后退，警报屏显示奶茶涨潮，节奏快速荒诞
s07,7,天文台内部，天文学家们围着望远镜崩溃，屏幕上的月球像巨大粉色糖果，白板公式被粉色月光染成爱心形，小机器人贴上问题不大标签。,镜头从望远镜目镜拉出到混乱天文台，天文学家抱头转圈，小机器人贴上问题不大标签，最后定格在粉色月球屏幕
s08,6,城市观景台爆满，情侣和游客排队与粉色月球合影，队伍从楼顶绕到街尾，保安机器人举错方向牌，背景屏写最佳拍照点。,竖屏从队伍尾端快速上摇到楼顶，再落到巨大粉色月球和茫然保安机器人，排队长度制造夸张笑点
s09,5,秘书机器人002冲进宇宙管理室，抱着厚厚灾难报告，报告页快速翻动：潮汐异常、天文崩溃、拍照堵塞，零壹半睁眼嫌弃。,002急速冲入画面，报告夸张展开，零壹只看一眼，机械触手轻轻一扫把报告拨飞，节奏短促
s10,7,零壹漂浮旋转，机械触手展开，悬浮皇冠发光，粉色月球悬在背后。最后方糖黑立方被推到镜头前闪一下，屏幕弹出实验编号Universe-0001。,英雄式环绕镜头拍零壹漂浮，粉色月球在背后发光，方糖被触手推向镜头并闪烁，屏幕弹出实验编号Universe-0001和方糖记录已开启
